time,latitude,longitude,altitude,co2
1625211737,45.651464,25.615426,100,611
1625211797,45.651464,25.615426,100,613
1625211857,45.651464,25.615426,100,615
1625211917,45.651464,25.615426,100,613
1625211977,45.651464,25.615426,100,614
1625212037,45.651464,25.615426,100,616
1625212097,45.651464,25.615426,100,618
1625212157,45.651464,25.615426,100,622
1625212217,45.651464,25.615426,100,618
1625212277,45.651464,25.615426,100,616
1625212338,45.651464,25.615426,100,613
1625212397,45.651464,25.615426,100,610
1625212457,45.651464,25.615426,100,616
1625212517,45.651464,25.615426,100,618
1625212577,45.651464,25.615426,100,620
1625212637,45.651464,25.615426,100,620
1625212697,45.651464,25.615426,100,623
1625212758,45.651464,25.615426,100,622
1625212817,45.651464,25.615426,100,624
1625212879,45.651464,25.615426,100,628
1625212937,45.651464,25.615426,100,625
1625212997,45.651464,25.615426,100,623
1625213057,45.651464,25.615426,100,625
1625213116,45.651464,25.615426,100,629
1625213177,45.651464,25.615426,100,629
1625213237,45.651464,25.615426,100,633
1625213297,45.651464,25.615426,100,635
1625213356,45.651464,25.615426,100,630
1625213416,45.651464,25.615426,100,629
1625213476,45.651464,25.615426,100,624
1625213536,45.651464,25.615426,100,622
1625213597,45.651464,25.615426,100,628
1625213658,45.651464,25.615426,100,632
1625213718,45.651464,25.615426,100,631
1625213777,45.651464,25.615426,100,632
1625213836,45.651464,25.615426,100,633
1625213896,45.651464,25.615426,100,631
1625213957,45.651464,25.615426,100,632
1625214016,45.651464,25.615426,100,631
1625214076,45.651464,25.615426,100,625
1625214136,45.651464,25.615426,100,627
1625214196,45.651464,25.615426,100,630
1625214258,45.651464,25.615426,100,631
1625214316,45.651464,25.615426,100,634
1625214376,45.651464,25.615426,100,638
1625214437,45.651464,25.615426,100,638
1625214497,45.651464,25.615426,100,640
1625214556,45.651464,25.615426,100,642
1625214617,45.651464,25.615426,100,639
1625214676,45.651464,25.615426,100,637
1625214737,45.651464,25.615426,100,645
1625214797,45.651464,25.615426,100,646
1625214856,45.651464,25.615426,100,642
1625214916,45.651464,25.615426,100,639
1625214976,45.651464,25.615426,100,638
1625215036,45.651464,25.615426,100,642
1625215097,45.651464,25.615426,100,643
1625215156,45.651464,25.615426,100,644
1625215217,45.651464,25.615426,100,638
1625215276,45.651464,25.615426,100,641
1625215336,45.651464,25.615426,100,644
1625215396,45.651464,25.615426,100,643
1625215456,45.651464,25.615426,100,645
1625215516,45.651464,25.615426,100,644
1625215576,45.651464,25.615426,100,646
1625215636,45.651464,25.615426,100,643
1625215696,45.651464,25.615426,100,648
1625215756,45.651464,25.615426,100,650
1625215817,45.651464,25.615426,100,649
1625215877,45.651464,25.615426,100,651
1625215936,45.651464,25.615426,100,647
1625215996,45.651464,25.615426,100,646
1625216056,45.651464,25.615426,100,645
1625216117,45.651464,25.615426,100,643
1625216177,45.651464,25.615426,100,645
1625216236,45.651464,25.615426,100,646
1625216296,45.651464,25.615426,100,650
1625216356,45.651464,25.615426,100,650
1625216416,45.651464,25.615426,100,648
1625216477,45.651464,25.615426,100,642
1625216536,45.651464,25.615426,100,643
1625216596,45.651464,25.615426,100,648
1625216657,45.651464,25.615426,100,650
1625216716,45.651464,25.615426,100,652
1625216776,45.651464,25.615426,100,650
1625216836,45.651464,25.615426,100,656
1625216896,45.651464,25.615426,100,656
1625216956,45.651464,25.615426,100,650
1625217016,45.651464,25.615426,100,651
1625217076,45.651464,25.615426,100,656
1625217136,45.651464,25.615426,100,660
1625217196,45.651464,25.615426,100,663
1625217256,45.651464,25.615426,100,664
1625217316,45.651464,25.615426,100,666
1625217376,45.651464,25.615426,100,661
1625217436,45.651464,25.615426,100,651
1625217496,45.651464,25.615426,100,642
1625217556,45.651464,25.615426,100,642
1625217616,45.651464,25.615426,100,645
1625217676,45.651464,25.615426,100,646
1625217736,45.651464,25.615426,100,648
1625217796,45.651464,25.615426,100,655
1625217856,45.651464,25.615426,100,660
1625217916,45.651464,25.615426,100,662
1625217976,45.651464,25.615426,100,661
1625218036,45.651464,25.615426,100,657
1625218096,45.651464,25.615426,100,658
1625218156,45.651464,25.615426,100,661
1625218216,45.651464,25.615426,100,667
1625218276,45.651464,25.615426,100,671
1625218336,45.651464,25.615426,100,669
1625218396,45.651464,25.615426,100,666
1625218456,45.651464,25.615426,100,657
1625218516,45.651464,25.615426,100,651
1625218576,45.651464,25.615426,100,651
1625218636,45.651464,25.615426,100,655
1625218696,45.651464,25.615426,100,662
1625218756,45.651464,25.615426,100,663
1625218816,45.651464,25.615426,100,662
1625218876,45.651464,25.615426,100,660
1625218936,45.651464,25.615426,100,654
1625218996,45.651464,25.615426,100,657
1625219056,45.651464,25.615426,100,660
1625219116,45.651464,25.615426,100,656
1625219176,45.651464,25.615426,100,658
1625219236,45.651464,25.615426,100,653
1625219296,45.651464,25.615426,100,655
1625219356,45.651464,25.615426,100,660
1625219416,45.651464,25.615426,100,668
1625219476,45.651464,25.615426,100,673
1625219536,45.651464,25.615426,100,676
1625219596,45.651464,25.615426,100,671
1625219656,45.651464,25.615426,100,668
1625219716,45.651464,25.615426,100,669
1625219776,45.651464,25.615426,100,665
1625219836,45.651464,25.615426,100,659
1625219896,45.651464,25.615426,100,658
1625219956,45.651464,25.615426,100,662
1625220016,45.651464,25.615426,100,652
1625220076,45.651464,25.615426,100,647
1625220136,45.651464,25.615426,100,644
1625220196,45.651464,25.615426,100,644
1625220256,45.651464,25.615426,100,646
1625220316,45.651464,25.615426,100,643
1625220376,45.651464,25.615426,100,646
1625220436,45.651464,25.615426,100,652
1625220496,45.651464,25.615426,100,652
1625220556,45.651464,25.615426,100,651
1625220616,45.651464,25.615426,100,648
1625220676,45.651464,25.615426,100,647
1625220736,45.651464,25.615426,100,648
1625220796,45.651464,25.615426,100,646
1625220856,45.651464,25.615426,100,645
1625220916,45.651464,25.615426,100,644
1625220976,45.651464,25.615426,100,645
1625221036,45.651464,25.615426,100,636
1625221096,45.651464,25.615426,100,635
1625221156,45.651464,25.615426,100,640
1625221216,45.651464,25.615426,100,647
1625221276,45.651464,25.615426,100,645
1625221336,45.651464,25.615426,100,646
1625221396,45.651464,25.615426,100,643
1625221456,45.651464,25.615426,100,636
1625221516,45.651464,25.615426,100,633
1625221576,45.651464,25.615426,100,627
1625221636,45.651464,25.615426,100,629
1625221696,45.651464,25.615426,100,628
1625221756,45.651464,25.615426,100,624
1625221816,45.651464,25.615426,100,622
1625221876,45.651464,25.615426,100,629
1625221936,45.651464,25.615426,100,639
1625221996,45.651464,25.615426,100,641
1625222056,45.651464,25.615426,100,638
1625222116,45.651464,25.615426,100,636
1625222176,45.651464,25.615426,100,634
1625222236,45.651464,25.615426,100,635
1625222296,45.651464,25.615426,100,638
1625222356,45.651464,25.615426,100,643
1625222416,45.651464,25.615426,100,640
1625222476,45.651464,25.615426,100,638
1625222536,45.651464,25.615426,100,636
1625222596,45.651464,25.615426,100,633
1625222656,45.651464,25.615426,100,630
1625222716,45.651464,25.615426,100,625
1625222776,45.651464,25.615426,100,624
1625222836,45.651464,25.615426,100,625
1625222896,45.651464,25.615426,100,623
1625222956,45.651464,25.615426,100,617
1625223016,45.651464,25.615426,100,617
1625223076,45.651464,25.615426,100,621
1625223136,45.651464,25.615426,100,622
1625223196,45.651464,25.615426,100,618
1625223256,45.651464,25.615426,100,619
1625223316,45.651464,25.615426,100,617
1625223376,45.651464,25.615426,100,617
1625223436,45.651464,25.615426,100,614
1625223496,45.651464,25.615426,100,611
1625223556,45.651464,25.615426,100,608
1625223616,45.651464,25.615426,100,609
1625223676,45.651464,25.615426,100,609
1625223736,45.651464,25.615426,100,605
1625223796,45.651464,25.615426,100,606
1625223856,45.651464,25.615426,100,606
1625223916,45.651464,25.615426,100,603
1625223976,45.651464,25.615426,100,603
1625224036,45.651464,25.615426,100,602
1625224097,45.651464,25.615426,100,599
1625224156,45.651464,25.615426,100,606
1625224216,45.651464,25.615426,100,613
1625224276,45.651464,25.615426,100,614
1625224336,45.651464,25.615426,100,613
1625224396,45.651464,25.615426,100,614
1625224456,45.651464,25.615426,100,610
1625224516,45.651464,25.615426,100,605
1625224576,45.651464,25.615426,100,597
1625224636,45.651464,25.615426,100,595
1625224696,45.651464,25.615426,100,593
1625224756,45.651464,25.615426,100,595
1625224816,45.651464,25.615426,100,592
1625224876,45.651464,25.615426,100,585
1625224936,45.651464,25.615426,100,580
1625224996,45.651464,25.615426,100,579
1625225056,45.651464,25.615426,100,582
1625225116,45.651464,25.615426,100,579
1625225176,45.651464,25.615426,100,582
1625225236,45.651464,25.615426,100,586
1625225296,45.651464,25.615426,100,585
1625225356,45.651464,25.615426,100,582
1625225416,45.651464,25.615426,100,580
1625225476,45.651464,25.615426,100,583
1625225536,45.651464,25.615426,100,587
1625225596,45.651464,25.615426,100,589
1625225656,45.651464,25.615426,100,597
1625225716,45.651464,25.615426,100,599
1625225776,45.651464,25.615426,100,600
1625225836,45.651464,25.615426,100,599
1625225896,45.651464,25.615426,100,598
1625225956,45.651464,25.615426,100,596
1625226016,45.651464,25.615426,100,589
1625226076,45.651464,25.615426,100,582
1625226136,45.651464,25.615426,100,575
1625226196,45.651464,25.615426,100,573
1625226256,45.651464,25.615426,100,578
1625226316,45.651464,25.615426,100,578
1625226376,45.651464,25.615426,100,576
1625226436,45.651464,25.615426,100,575
1625226496,45.651464,25.615426,100,576
1625226556,45.651464,25.615426,100,574
1625226616,45.651464,25.615426,100,574
1625226676,45.651464,25.615426,100,579
1625226736,45.651464,25.615426,100,580
1625226796,45.651464,25.615426,100,582
1625226856,45.651464,25.615426,100,584
1625226916,45.651464,25.615426,100,584
1625226976,45.651464,25.615426,100,581
1625227036,45.651464,25.615426,100,580
1625227096,45.651464,25.615426,100,581
1625227156,45.651464,25.615426,100,578
1625227216,45.651464,25.615426,100,578
1625227276,45.651464,25.615426,100,582
1625227336,45.651464,25.615426,100,578
1625227396,45.651464,25.615426,100,583
1625227456,45.651464,25.615426,100,584
1625227516,45.651464,25.615426,100,589
1625227576,45.651464,25.615426,100,590
1625227636,45.651464,25.615426,100,594
1625227696,45.651464,25.615426,100,593
1625227756,45.651464,25.615426,100,594
1625227816,45.651464,25.615426,100,590
1625227876,45.651464,25.615426,100,589
1625227936,45.651464,25.615426,100,587
1625227996,45.651464,25.615426,100,589
1625228056,45.651464,25.615426,100,590
1625228116,45.651464,25.615426,100,590
1625228176,45.651464,25.615426,100,590
1625228236,45.651464,25.615426,100,591
1625228296,45.651464,25.615426,100,589
1625228356,45.651464,25.615426,100,592
1625228416,45.651464,25.615426,100,588
1625228476,45.651464,25.615426,100,585
1625228536,45.651464,25.615426,100,585
1625228596,45.651464,25.615426,100,589
1625228656,45.651464,25.615426,100,591
1625228716,45.651464,25.615426,100,593
1625228776,45.651464,25.615426,100,592
1625228836,45.651464,25.615426,100,591
1625228896,45.651464,25.615426,100,587
1625228956,45.651464,25.615426,100,587
1625229016,45.651464,25.615426,100,589
1625229076,45.651464,25.615426,100,594
1625229136,45.651464,25.615426,100,595
1625229196,45.651464,25.615426,100,593
1625229256,45.651464,25.615426,100,595
1625229316,45.651464,25.615426,100,594
1625229376,45.651464,25.615426,100,600
1625229436,45.651464,25.615426,100,600
1625229496,45.651464,25.615426,100,595
1625229556,45.651464,25.615426,100,597
1625229616,45.651464,25.615426,100,591
1625229676,45.651464,25.615426,100,591
1625229736,45.651464,25.615426,100,590
1625229796,45.651464,25.615426,100,583
1625229856,45.651464,25.615426,100,585
1625229916,45.651464,25.615426,100,588
1625229976,45.651464,25.615426,100,590
1625230036,45.651464,25.615426,100,592
1625230096,45.651464,25.615426,100,591
1625230156,45.651464,25.615426,100,588
1625230216,45.651464,25.615426,100,590
1625230276,45.651464,25.615426,100,588
1625230336,45.651464,25.615426,100,592
1625230396,45.651464,25.615426,100,593
1625230456,45.651464,25.615426,100,595
1625230516,45.651464,25.615426,100,589
1625230576,45.651464,25.615426,100,587
1625230636,45.651464,25.615426,100,581
1625230696,45.651464,25.615426,100,582
1625230756,45.651464,25.615426,100,582
1625230816,45.651464,25.615426,100,582
1625230876,45.651464,25.615426,100,579
1625230936,45.651464,25.615426,100,575
1625230996,45.651464,25.615426,100,577
1625231056,45.651464,25.615426,100,571
1625231116,45.651464,25.615426,100,569
1625231176,45.651464,25.615426,100,571
1625231236,45.651464,25.615426,100,571
1625231296,45.651464,25.615426,100,569
1625231356,45.651464,25.615426,100,567
1625231416,45.651464,25.615426,100,567
1625231476,45.651464,25.615426,100,565
1625231536,45.651464,25.615426,100,561
1625231596,45.651464,25.615426,100,558
1625231656,45.651464,25.615426,100,553
1625231716,45.651464,25.615426,100,554
1625231776,45.651464,25.615426,100,561
1625231836,45.651464,25.615426,100,563
1625231896,45.651464,25.615426,100,562
1625231956,45.651464,25.615426,100,558
1625232016,45.651464,25.615426,100,559
1625232076,45.651464,25.615426,100,560
1625232136,45.651464,25.615426,100,558
1625232196,45.651464,25.615426,100,556
1625232256,45.651464,25.615426,100,553
1625232316,45.651464,25.615426,100,557
1625232376,45.651464,25.615426,100,562
1625232436,45.651464,25.615426,100,563
1625232496,45.651464,25.615426,100,564
1625232556,45.651464,25.615426,100,563
1625232616,45.651464,25.615426,100,563
1625232676,45.651464,25.615426,100,562
1625232736,45.651464,25.615426,100,555
1625232796,45.651464,25.615426,100,552
1625232856,45.651464,25.615426,100,554
1625232916,45.651464,25.615426,100,553
1625232976,45.651464,25.615426,100,554
1625233036,45.651464,25.615426,100,564
1625233096,45.651464,25.615426,100,564
1625233156,45.651464,25.615426,100,562
1625233215,45.651464,25.615426,100,562
1625233275,45.651464,25.615426,100,563
1625233336,45.651464,25.615426,100,560
1625233395,45.651464,25.615426,100,556
1625233456,45.651464,25.615426,100,558
1625233516,45.651464,25.615426,100,558
1625233575,45.651464,25.615426,100,555
1625233635,45.651464,25.615426,100,554
1625233695,45.651464,25.615426,100,550
1625233756,45.651464,25.615426,100,549
1625233815,45.651464,25.615426,100,552
1625233875,45.651464,25.615426,100,558
1625233936,45.651464,25.615426,100,560
1625233995,45.651464,25.615426,100,558
1625234055,45.651464,25.615426,100,554
1625234115,45.651464,25.615426,100,557
1625234175,45.651464,25.615426,100,557
1625234235,45.651464,25.615426,100,557
1625234295,45.651464,25.615426,100,556
1625234355,45.651464,25.615426,100,561
1625234415,45.651464,25.615426,100,559
1625234475,45.651464,25.615426,100,556
1625234535,45.651464,25.615426,100,560
1625234595,45.651464,25.615426,100,563
1625234655,45.651464,25.615426,100,559
1625234715,45.651464,25.615426,100,554
1625234775,45.651464,25.615426,100,557
1625234835,45.651464,25.615426,100,558
1625234895,45.651464,25.615426,100,554
1625234955,45.651464,25.615426,100,553
1625235015,45.651464,25.615426,100,551
1625235075,45.651464,25.615426,100,550
1625235135,45.651464,25.615426,100,550
1625235195,45.651464,25.615426,100,551
1625235255,45.651464,25.615426,100,555
1625235315,45.651464,25.615426,100,563
1625235375,45.651464,25.615426,100,562
1625235435,45.651464,25.615426,100,557
1625235495,45.651464,25.615426,100,555
1625235555,45.651464,25.615426,100,557
1625235615,45.651464,25.615426,100,558
1625235675,45.651464,25.615426,100,566
1625235735,45.651464,25.615426,100,569
1625235795,45.651464,25.615426,100,565
1625235855,45.651464,25.615426,100,562
1625235919,45.651464,25.615426,100,558
1625235975,45.651464,25.615426,100,561
1625236035,45.651464,25.615426,100,563
1625236095,45.651464,25.615426,100,559
1625236155,45.651464,25.615426,100,561
1625236215,45.651464,25.615426,100,565
1625236275,45.651464,25.615426,100,568
1625236335,45.651464,25.615426,100,568
1625236395,45.651464,25.615426,100,566
1625236455,45.651464,25.615426,100,568
1625236515,45.651464,25.615426,100,572
1625236575,45.651464,25.615426,100,569
1625236635,45.651464,25.615426,100,566
1625236695,45.651464,25.615426,100,564
1625236755,45.651464,25.615426,100,565
1625236815,45.651464,25.615426,100,564
1625236875,45.651464,25.615426,100,567
1625236935,45.651464,25.615426,100,570
1625236995,45.651464,25.615426,100,574
1625237055,45.651464,25.615426,100,576
1625237115,45.651464,25.615426,100,570
1625237175,45.651464,25.615426,100,570
1625237235,45.651464,25.615426,100,574
1625237295,45.651464,25.615426,100,575
1625237355,45.651464,25.615426,100,572
1625237415,45.651464,25.615426,100,573
1625237475,45.651464,25.615426,100,578
1625237535,45.651464,25.615426,100,580
1625237595,45.651464,25.615426,100,579
1625237655,45.651464,25.615426,100,577
1625237715,45.651464,25.615426,100,576
1625237775,45.651464,25.615426,100,572
1625237835,45.651464,25.615426,100,577
1625237895,45.651464,25.615426,100,582
1625237955,45.651464,25.615426,100,583
1625238015,45.651464,25.615426,100,581
1625238075,45.651464,25.615426,100,582
1625238135,45.651464,25.615426,100,579
1625238195,45.651464,25.615426,100,581
1625238255,45.651464,25.615426,100,582
1625238315,45.651464,25.615426,100,588
1625238375,45.651464,25.615426,100,589
1625238435,45.651464,25.615426,100,586
1625238495,45.651464,25.615426,100,585
1625238555,45.651464,25.615426,100,582
1625238615,45.651464,25.615426,100,582
1625238675,45.651464,25.615426,100,581
1625238735,45.651464,25.615426,100,578
1625238795,45.651464,25.615426,100,577
1625238855,45.651464,25.615426,100,576
1625238915,45.651464,25.615426,100,573
1625238975,45.651464,25.615426,100,569
1625239035,45.651464,25.615426,100,565
1625239095,45.651464,25.615426,100,565
1625239155,45.651464,25.615426,100,565
1625239215,45.651464,25.615426,100,566
1625239275,45.651464,25.615426,100,569
1625239335,45.651464,25.615426,100,572
1625239395,45.651464,25.615426,100,573
1625239455,45.651464,25.615426,100,569
1625239515,45.651464,25.615426,100,569
1625239575,45.651464,25.615426,100,573
1625239635,45.651464,25.615426,100,572
1625239695,45.651464,25.615426,100,566
