time,latitude,longitude,altitude,pm10
1639476692,45.651464,25.615426,538,24
1639476752,45.651464,25.615426,538,22
1639476812,45.651464,25.615426,538,23
1639476872,45.651464,25.615426,538,25
1639476932,45.651464,25.615426,538,24
1639476992,45.651464,25.615426,538,23
1639477052,45.651464,25.615426,538,26
1639477112,45.651464,25.615426,538,26
1639477172,45.651464,25.615426,538,26
1639477232,45.651464,25.615426,538,25
1639477292,45.651464,25.615426,538,25
1639477352,45.651464,25.615426,538,24
1639477412,45.651464,25.615426,538,24
1639477472,45.651464,25.615426,538,23
1639477532,45.651464,25.615426,538,23
1639477592,45.651464,25.615426,538,23
1639477652,45.651464,25.615426,538,23
1639477712,45.651464,25.615426,538,23
1639477772,45.651464,25.615426,538,25
1639477832,45.651464,25.615426,538,25
1639477892,45.651464,25.615426,538,25
1639477952,45.651464,25.615426,538,24
1639478012,45.651464,25.615426,538,25
1639478072,45.651464,25.615426,538,26
1639478132,45.651464,25.615426,538,26
1639478192,45.651464,25.615426,538,23
1639478252,45.651464,25.615426,538,23
1639478312,45.651464,25.615426,538,28
1639478372,45.651464,25.615426,538,31
1639478432,45.651464,25.615426,538,28
1639478492,45.651464,25.615426,538,26
1639478552,45.651464,25.615426,538,26
1639478612,45.651464,25.615426,538,26
1639478672,45.651464,25.615426,538,27
1639478732,45.651464,25.615426,538,27
1639478792,45.651464,25.615426,538,30
1639478852,45.651464,25.615426,538,29
1639478912,45.651464,25.615426,538,28
1639478972,45.651464,25.615426,538,27
1639479032,45.651464,25.615426,538,27
1639479092,45.651464,25.615426,538,27
1639479152,45.651464,25.615426,538,28
1639479212,45.651464,25.615426,538,27
1639479272,45.651464,25.615426,538,26
1639479332,45.651464,25.615426,538,26
1639479392,45.651464,25.615426,538,27
1639479452,45.651464,25.615426,538,24
1639479512,45.651464,25.615426,538,23
1639479572,45.651464,25.615426,538,22
1639479632,45.651464,25.615426,538,22
1639479692,45.651464,25.615426,538,23
1639479752,45.651464,25.615426,538,29
1639479812,45.651464,25.615426,538,27
1639479872,45.651464,25.615426,538,27
1639479932,45.651464,25.615426,538,27
1639479992,45.651464,25.615426,538,27
1639480052,45.651464,25.615426,538,28
1639480112,45.651464,25.615426,538,27
1639480172,45.651464,25.615426,538,28
1639480232,45.651464,25.615426,538,28
1639480292,45.651464,25.615426,538,27
1639480352,45.651464,25.615426,538,26
1639480412,45.651464,25.615426,538,23
1639480472,45.651464,25.615426,538,24
1639480532,45.651464,25.615426,538,24
1639480592,45.651464,25.615426,538,23
1639480652,45.651464,25.615426,538,26
1639480712,45.651464,25.615426,538,30
1639480772,45.651464,25.615426,538,27
1639480832,45.651464,25.615426,538,23
1639480892,45.651464,25.615426,538,22
1639480952,45.651464,25.615426,538,23
1639481012,45.651464,25.615426,538,23
1639481071,45.651464,25.615426,538,23
1639481132,45.651464,25.615426,538,22
1639481192,45.651464,25.615426,538,21
1639481252,45.651464,25.615426,538,21
1639481312,45.651464,25.615426,538,21
1639481372,45.651464,25.615426,538,22
1639481431,45.651464,25.615426,538,22
1639481491,45.651464,25.615426,538,21
1639481552,45.651464,25.615426,538,21
1639481611,45.651464,25.615426,538,42
1639481672,45.651464,25.615426,538,28
1639481731,45.651464,25.615426,538,24
1639481791,45.651464,25.615426,538,24
1639481851,45.651464,25.615426,538,25
1639481911,45.651464,25.615426,538,25
1639481971,45.651464,25.615426,538,26
1639482031,45.651464,25.615426,538,25
1639482091,45.651464,25.615426,538,23
1639482152,45.651464,25.615426,538,23
1639482211,45.651464,25.615426,538,24
1639482272,45.651464,25.615426,538,26
1639482332,45.651464,25.615426,538,25
1639482391,45.651464,25.615426,538,23
1639482451,45.651464,25.615426,538,22
1639482511,45.651464,25.615426,538,22
1639482571,45.651464,25.615426,538,23
1639482632,45.651464,25.615426,538,23
1639482691,45.651464,25.615426,538,26
1639482751,45.651464,25.615426,538,25
1639482811,45.651464,25.615426,538,24
1639482871,45.651464,25.615426,538,30
1639482931,45.651464,25.615426,538,30
1639482991,45.651464,25.615426,538,27
1639483051,45.651464,25.615426,538,25
1639483111,45.651464,25.615426,538,24
1639483171,45.651464,25.615426,538,23
1639483231,45.651464,25.615426,538,23
1639483291,45.651464,25.615426,538,22
1639483351,45.651464,25.615426,538,23
1639483411,45.651464,25.615426,538,26
1639483471,45.651464,25.615426,538,26
1639483531,45.651464,25.615426,538,24
1639483591,45.651464,25.615426,538,23
1639483651,45.651464,25.615426,538,22
1639483712,45.651464,25.615426,538,23
1639483771,45.651464,25.615426,538,21
1639483831,45.651464,25.615426,538,20
1639483891,45.651464,25.615426,538,20
1639483951,45.651464,25.615426,538,21
1639484011,45.651464,25.615426,538,21
1639484071,45.651464,25.615426,538,23
1639484131,45.651464,25.615426,538,23
1639484191,45.651464,25.615426,538,24
1639484251,45.651464,25.615426,538,26
1639484311,45.651464,25.615426,538,26
1639484371,45.651464,25.615426,538,23
1639484431,45.651464,25.615426,538,23
1639484491,45.651464,25.615426,538,24
1639484551,45.651464,25.615426,538,23
1639484611,45.651464,25.615426,538,23
1639484671,45.651464,25.615426,538,22
1639484731,45.651464,25.615426,538,21
1639484791,45.651464,25.615426,538,20
1639484851,45.651464,25.615426,538,20
1639484911,45.651464,25.615426,538,21
1639484971,45.651464,25.615426,538,21
1639485031,45.651464,25.615426,538,21
1639485091,45.651464,25.615426,538,22
1639485151,45.651464,25.615426,538,21
1639485211,45.651464,25.615426,538,23
1639485271,45.651464,25.615426,538,23
1639485331,45.651464,25.615426,538,24
1639485391,45.651464,25.615426,538,23
1639485451,45.651464,25.615426,538,23
1639485511,45.651464,25.615426,538,23
1639485571,45.651464,25.615426,538,23
1639485631,45.651464,25.615426,538,22
1639485691,45.651464,25.615426,538,21
1639485751,45.651464,25.615426,538,20
1639485811,45.651464,25.615426,538,19
1639485871,45.651464,25.615426,538,21
1639485931,45.651464,25.615426,538,21
1639485991,45.651464,25.615426,538,22
1639486051,45.651464,25.615426,538,23
1639486111,45.651464,25.615426,538,21
1639486171,45.651464,25.615426,538,21
1639486231,45.651464,25.615426,538,19
1639486291,45.651464,25.615426,538,21
1639486351,45.651464,25.615426,538,26
1639486412,45.651464,25.615426,538,22
1639486471,45.651464,25.615426,538,22
1639486531,45.651464,25.615426,538,21
1639486591,45.651464,25.615426,538,25
1639486651,45.651464,25.615426,538,24
1639486711,45.651464,25.615426,538,23
1639486771,45.651464,25.615426,538,20
1639486831,45.651464,25.615426,538,20
1639486891,45.651464,25.615426,538,21
1639486951,45.651464,25.615426,538,22
1639487011,45.651464,25.615426,538,21
1639487071,45.651464,25.615426,538,21
1639487131,45.651464,25.615426,538,22
1639487191,45.651464,25.615426,538,21
1639487251,45.651464,25.615426,538,22
1639487311,45.651464,25.615426,538,24
1639487372,45.651464,25.615426,538,23
1639487431,45.651464,25.615426,538,24
1639487491,45.651464,25.615426,538,26
1639487551,45.651464,25.615426,538,26
1639487611,45.651464,25.615426,538,24
1639487671,45.651464,25.615426,538,24
1639487731,45.651464,25.615426,538,26
1639487791,45.651464,25.615426,538,26
1639487851,45.651464,25.615426,538,26
